"","city","beta_mean","beta_lb","beta_ub","rho_mean","rho_lb","rho_ub","N_mean","N_lb","N_ub","R0_mean","R0_lb","R0_ub"
"26","Zhengzhou",0.370451638874386,0.297379508061392,0.437446647704871,0.0647623975525941,0.034564707292674,0.111725813635462,172.636082057441,162.942199814651,189.006091002813,2.22270983324631,1.78427704836835,2.62467988622922
"27","Nanyang",0.405563617714241,0.328252217793511,0.478160686823331,0.0696022941961078,0.0381099451790516,0.118334249807205,173.6095025728,166.338890247914,185.372380873738,2.43338170628544,1.96951330676107,2.86896412093999
"28","Shangqiu",0.550961512363438,0.458686911305341,0.643203734262706,0.0201173203170392,0.00810578538461552,0.041035004970826,94.0390902035453,92.119159936448,97.0966462055923,3.30576907418063,2.75212146783204,3.85922240557623
"29","Xinyang",0.463085836876393,0.418590886569227,0.507946275616913,0.01880781296053,0.0114272780691283,0.0289167004235142,291.907316476774,285.413602478908,300.303400629839,2.77851502125836,2.51154531941537,3.04767765370148
"30","Zhoukou",0.358908279431248,0.171438185415236,0.484542712967438,0.11845369310673,0.046069871110578,0.284450212675672,111.165332314628,80.5890641592782,127.191081024681,2.15344967658749,1.02862911249142,2.90725627780463
"31","Zhumadian",0.540110222282306,0.470697002452105,0.610575524010757,0.014677350921725,0.00687787063053383,0.0270726854305989,142.643771921992,140.049396885128,146.339553086556,3.24066133369384,2.82418201471263,3.66345314406454
"32","Huangshi",0.472637310105557,0.449966936024857,0.495174324693653,0.0152793519475564,0.0118717021048552,0.0192927227135641,1128.00496737195,1115.38603855181,1142.50410775224,2.83582386063334,2.69980161614914,2.97104594816192
"33","Shiyan",0.40018861218186,0.373044059396303,0.427143185392097,0.0306047481693507,0.0230474588792828,0.0396923910181867,756.550377213338,739.201049908471,777.41727200753,2.40113167309116,2.23826435637782,2.56285911235258
"34","Yichang",0.466919931438398,0.443203719007048,0.490585537201738,0.0193022753569111,0.0151334335133662,0.0242302814753249,1023.9529078499,1011.72380964356,1038.03982128729,2.80151958863039,2.65922231404229,2.94351322321043
"35","Xiangyang",0.533783016533472,0.510180396432967,0.557425291228691,0.0148071413542118,0.0117345097082635,0.0183402407961079,1230.14871893296,1221.44986671232,1240.01406197701,3.20269809920083,3.0610823785978,3.34455174737215
"36","Ezhou",0.431897274905626,0.416080345010782,0.447692410955101,0.00874965824421606,0.00692569037941186,0.0108777582954631,1567.90877235731,1548.04800242301,1590.04668547406,2.59138364943376,2.49648207006469,2.68615446573061
"37","Jingmen",0.356540426903085,0.336601476444041,0.376139329365115,0.0331593483997094,0.0266963944951611,0.0406221427728887,1308.44254637263,1273.83254237712,1349.51291368824,2.13924256141851,2.01960885866424,2.25683597619069
"38","Xiaogan",0.465280777698345,0.453367818561873,0.477232099803478,0.012545808756664,0.0109340213918981,0.0143040486614383,3806.45700415777,3780.87009817237,3833.95772773584,2.79168466619007,2.72020691137124,2.86339259882087
"39","Jingzhou",0.452053375555771,0.435761452691207,0.468419607718454,0.0132314771023524,0.0108848108693163,0.0158938643211663,1751.59772513548,1733.7292753717,1771.35759752515,2.71232025333463,2.61456871614724,2.81051764631072
"40","Huanggang",0.462017563846193,0.448214853842932,0.475768982274478,0.0215491761415112,0.0187697788045903,0.0245970059922765,3142.48604669979,3119.59859844476,3167.38036272739,2.77210538307716,2.68928912305759,2.85461389364687
"41","Xianning",0.360979743479401,0.341484002498355,0.380351941369647,0.0259146097835431,0.0204267698403791,0.0322677785365736,1109.38559200541,1079.76477938848,1144.07149500026,2.16587846087641,2.04890401499013,2.28211164821788
"42","Suizhou",0.513286432156456,0.491662814372124,0.534905889424785,0.0126879528470777,0.0101218233968526,0.0156869232547269,1370.86122887426,1360.13762203304,1382.96133302257,3.07971859293873,2.94997688623275,3.20943533654871
"43","Changsha",0.536161513546427,0.48104030546861,0.591883516747526,0.0185146399446434,0.0108740328253184,0.0293683168946333,241.187363421973,237.608650149009,245.917227582037,3.21696908127856,2.88624183281166,3.55130110048516
"44","Zhuzhou",0.44478714311748,0.362783464119635,0.52403981843753,0.0219242600618873,0.00810942383148285,0.0471554381658088,83.7363967283334,80.1761207750124,89.6888385009734,2.66872285870488,2.17670078471781,3.14423891062518
"45","Shaoyang",0.473046977813533,0.38424462449853,0.558821991169513,0.041507467699438,0.0189524806293679,0.0790084244781442,108.398747723991,105.016201052688,113.943473125168,2.8382818668812,2.30546774699118,3.35293194701708
"46","Yueyang",0.472918167496656,0.411480233822623,0.534013648405009,0.0226702723454605,0.0118176787793087,0.0390715961572677,164.9352736803,160.6292866917,171.087305244699,2.83750900497993,2.46888140293574,3.20408189043006
"47","Changde",0.326709933813158,0.119622801051828,0.447278602665595,0.129908761788266,0.0507866126293659,0.300437910728015,151.756691180248,88.4644655233152,214.156100460499,1.96025960287895,0.717736806310967,2.68367161599357
"48","Loudi",0.479678209378867,0.383328050939044,0.57406874310251,0.0273322368397845,0.00993091014123313,0.0595208244557991,76.3472057932265,73.6647047328445,80.9538529513345,2.8780692562732,2.29996830563426,3.44441245861506
"49","Zhuhai",0.504873242351042,0.411870942161563,0.598204459840402,0.027444053229663,0.0114524356053923,0.0546231081617231,95.5266168089294,92.8291955391241,99.9266130168136,3.02923945410625,2.47122565296938,3.58922675904241
"50","Huizhou",0.406338702615988,0.290567295971905,0.510626984757907,0.0428792727839601,0.0135788576026589,0.103237201400573,62.5701049369027,58.2084622690798,71.7769658407873,2.43803221569593,1.74340377583143,3.06376190854744
"51","Dongguan",0.352903448862516,0.28307100507735,0.418301791866452,0.0362550801913243,0.0170550881346862,0.066859300637306,120.950170596435,111.14647412618,138.639537289553,2.1174206931751,1.6984260304641,2.50981075119871
"52","Chongqing",0.347016844276079,0.307197378013956,0.384517828725255,0.0854796090226513,0.0631239852027739,0.113763432144498,650.163803919406,625.616020603555,683.50458279467,2.08210106565648,1.84318426808374,2.30710697235153
"53","Xi'an",0.450267475554388,0.375560131392207,0.523181709005879,0.0303959246101863,0.0142231962297816,0.0567542534753122,126.626065914582,122.174153628551,133.619391573409,2.70160485332633,2.25336078835324,3.13909025403528
